test_date,PC_type,Strike,Spot_t,Premium_t,Tau_t,Moneyness_t,Delta_t,IV_t,IR_t,DividendYield_t,value_t,Quantity_t,Spot_th,option_value,option_return,M_floor,Return_t,Cluster,M_group,steps_ahead,R_t,RF_t,ER_t
2020-03-28,1,6500,6144.08,516.1,27,1.05792893321702,0.471365734362506,0.9975,3e-4,0,18432.24,3,7477.6,977.6000000000004,0.8942065491183886,1.05,0.05792893321702008,0,"(-0.1,0.15]",27,0.8942065491183886,3.606525032791019e-4,0.8938458966151095
2020-03-28,1,6500,6092.21,505.65,27,1.06693630061997,0.462150757167819,1.0193,3e-4,0,71278.857,11.7,7477.6,977.6000000000004,0.9333531098585988,1.06,0.06693630061996991,0,"(-0.1,0.15]",27,0.9333531098585988,3.606525032791019e-4,0.9329924573553197
2020-03-28,1,6500,6088.84,508.42,27,1.06752681955841,0.462591083892389,1.0278,3e-4,0,1217.768,0.2,7477.6,977.6000000000004,0.9228197159828496,1.06,0.06752681955841,0,"(-0.1,0.15]",27,0.9228197159828496,3.606525032791019e-4,0.9224590634795705
2020-03-28,1,7000,6256.41,375.38,27,1.118852504871,0.383749199809387,0.9666,3e-4,0,12512.82,2,7477.6,477.6000000000003,0.27231072513186727,1.11,0.11885250487100008,0,"(-0.1,0.15]",27,0.27231072513186727,3.606525032791019e-4,0.27195007262858817
2020-03-28,1,7000,6302.5,390.76,27,1.11067036890123,0.39436927713925,0.9662,3e-4,0,2521,0.4,7477.6,477.6000000000003,0.22223359606919943,1.11,0.11067036890123004,0,"(-0.1,0.15]",27,0.22223359606919943,3.606525032791019e-4,0.22187294356592033
2020-03-28,1,7000,6302.5,390.76,27,1.11067036890123,0.39436927713925,0.9662,3e-4,0,1890.75,0.3,7477.6,477.6000000000003,0.22223359606919943,1.11,0.11067036890123004,0,"(-0.1,0.15]",27,0.22223359606919943,3.606525032791019e-4,0.22187294356592033
2020-03-28,1,7000,6313.55,391.44,27,1.10872646926056,0.395950974334098,0.9615,3e-4,0,3156.775,0.5,7477.6,477.6000000000003,0.22011036174126383,1.1,0.10872646926056008,0,"(-0.1,0.15]",27,0.22011036174126383,3.606525032791019e-4,0.21974970923798473
2020-03-28,1,7000,6315.82,394.74,27,1.10832797641478,0.39425866277218,0.951,3e-4,0,1263.164,0.2,7477.6,477.6000000000003,0.2099103207174351,1.1,0.10832797641477998,0,"(-0.1,0.15]",27,0.2099103207174351,3.606525032791019e-4,0.209549668214156
2020-03-28,1,7000,6273.34,385.81,27,1.11583303312111,0.386721674824777,0.9622,3e-4,0,627.334,0.1,7477.6,477.6000000000003,0.23791503589850027,1.11,0.11583303312110992,0,"(-0.1,0.15]",27,0.23791503589850027,3.606525032791019e-4,0.23755438339522117
2020-03-28,1,7000,6316.79,401.12,27,1.10815778267126,0.396413007403966,0.9601,3e-4,0,1263.358,0.2,7477.6,477.6000000000003,0.19066613482249783,1.1,0.10815778267126008,0,"(-0.1,0.15]",27,0.19066613482249783,3.606525032791019e-4,0.19030548231921873
2020-03-28,1,7000,6184.03,343.21,27,1.13194793686318,0.363689271162972,0.9528,3e-4,0,18552.09,3,7477.6,477.6000000000003,0.3915678447597693,1.13,0.13194793686317996,0,"(-0.1,0.15]",27,0.3915678447597693,3.606525032791019e-4,0.3912071922564902
2020-03-28,1,7000,6189.4,362.08,27,1.13096584483149,0.370365925320064,0.9759,3e-4,0,3094.7,0.5,7477.6,477.6000000000003,0.3190455148033595,1.13,0.1309658448314901,0,"(-0.1,0.15]",27,0.3190455148033595,3.606525032791019e-4,0.3186848623000804
2020-03-28,1,7000,6200.53,353.43,27,1.12893575226634,0.371570590338004,0.97,3e-4,0,3100.265,0.5,7477.6,477.6000000000003,0.3513284101519405,1.12,0.1289357522663399,0,"(-0.1,0.15]",27,0.3513284101519405,3.606525032791019e-4,0.3509677576486614
